37,35,29,26
38,9,2,14
39,3,7,27
11,35,49,4
14,12,41,11
10,12,36,25
21,2,41,8
31,10,25,14
16,3,12,48
47,11,36,31
37,3,30,25
32,17,16,33
2,22,43,36
3,37,9,5
10,8,28,14
2,30,12,23
43,5,38,45
21,16,1,31
28,10,13,20
4,39,28,38
20,2,33,5
31,11,8,46
35,23,7,33
28,12,4,17
27,46,13,6
38,44,47,7
29,10,6,46
34,31,41,4
18,37,10,14
46,7,36,17
44,10,34,27
20,43,17,1
11,17,40,1
47,9,19,24
45,2,24,21
7,30,25,46
31,4,16,37
16,7,39,23
32,17,25,1
46,32,48,40
34,7,38,49
29,5,6,9
24,46,11,43
7,1,44,24
2,44,34,11
7,8,2,40
41,27,6,33
47,43,49,13
49,33,18,23
36,15,25,21
2,13,40,19
43,24,18,10
45,13,21,37
32,11,41,24
47,40,34,16
7,44,21,9
10,20,38,34
9,28,36,32
24,33,42,13
40,9,3,39
48,38,15,7
23,27,17,33
7,47,1,29
20,48,43,32
10,40,26,22
12,5,10,44
30,38,36,32
11,17,31,41
45,27,29,22
16,36,35,20
12,39,34,31
22,31,1,27
32,5,41,6
49,15,14,30
1,20,26,27
40,26,12,48
1,37,39,15
6,25,39,46
41,40,12,30
42,23,8,26
29,33,34,42
25,8,34,13
41,23,26,17
2,45,36,21
46,42,26,47
25,43,34,46
33,8,10,4
2,5,21,27
29,41,13,42
15,10,24,9
8,35,4,7
2,25,11,38
47,8,49,44
41,49,43,5
41,13,19,12
11,38,21,17
34,40,20,48
10,16,45,48
5,38,28,7
18,39,46,33
49,12,32,7
5,42,44,21
11,38,43,19
44,27,42,31
2,12,10,14
5,43,18,32
20,30,13,15
21,10,32,31
18,28,24,23
48,41,39,4
9,28,41,35
6,28,20,18
16,34,25,13
11,25,27,6
39,20,12,1
47,31,24,43
22,20,33,25
16,22,39,4
24,21,46,45
34,49,27,5
12,8,37,2
4,40,14,48
14,22,27,29
16,2,35,19
29,10,49,26
19,15,26,8
22,10,31,17
35,21,14,46
3,31,26,6
22,20,5,48
46,9,37,32
39,6,18,11
43,9,25,34
11,21,20,23
42,25,39,12
32,28,41,46
46,32,48,31
36,20,45,12
21,22,38,16
36,26,10,32
27,31,19,43
46,23,20,40
49,26,43,47
38,29,20,21
15,34,21,42
29,24,37,38
38,27,32,41
44,22,40,1
11,40,19,28
18,27,41,7
