21,24,44,29
8,6,49,13
4,21,9,7
49,12,2,28
45,10,46,24
38,41,17,19
4,10,34,19
2,1,27,5
42,35,2,26
5,20,33,17
45,1,29,3
9,24,49,36
4,1,33,20
49,32,19,36
19,37,36,30
32,42,3,19
27,15,18,22
44,14,34,10
22,40,18,12
5,13,6,1
29,21,42,39
36,23,8,16
31,10,35,41
32,1,47,37
18,28,6,2
25,32,14,20
22,11,39,16
20,27,35,9
21,45,13,23
3,16,48,4
22,45,48,17
40,48,23,21
5,23,12,35
19,3,25,20
19,7,25,31
21,44,31,39
28,10,36,11
14,44,28,20
43,10,29,21
39,26,42,33
41,45,47,40
11,23,33,21
35,12,16,32
42,44,27,18
10,42,3,26
48,16,7,27
40,4,41,17
17,19,20,34
19,5,15,20
49,44,18,47
40,29,7,15
6,14,13,27
38,35,7,9
36,27,22,47
30,24,7,3
39,27,29,26
18,40,11,29
1,14,47,3
38,46,18,4
40,29,15,19
6,28,43,18
35,2,47,49
40,37,10,46
13,22,19,10
32,36,34,44
48,19,38,18
21,45,46,39
31,32,12,3
19,25,48,26
41,23,49,28
24,42,41,47
28,14,43,37
36,33,25,2
24,5,4,6
31,38,39,11
9,42,3,48
35,41,16,25
17,36,3,15
42,47,15,4
4,29,36,40
43,29,45,32
49,12,39,36
3,9,33,10
45,49,3,23
24,46,6,38
16,39,6,15
48,34,6,2
8,33,9,21
34,15,13,46
6,4,33,10
19,44,34,35
1,26,40,37
28,19,36,21
2,48,15,39
45,25,42,41
40,18,47,37
9,41,28,40
13,10,16,2
24,23,3,17
5,45,14,43
4,6,29,49
42,13,8,27
7,6,38,12
42,48,2,33
3,2,8,15
35,33,22,47
30,31,34,28
37,42,44,7
13,26,43,33
1,47,18,11
41,11,16,21
40,11,8,25
15,16,32,41
30,14,48,41
49,26,35,8
16,46,49,39
7,37,28,45
21,40,30,45
19,27,42,37
41,19,4,12
28,35,29,9
38,3,34,28
24,34,30,42
42,29,30,25
46,33,17,45
5,31,47,40
8,21,40,42
19,6,28,39
29,48,33,47
9,7,17,43
34,29,47,26
38,7,33,49
27,23,30,16
29,41,11,12
1,5,33,9
20,44,1,37
29,1,47,28
39,28,1,17
17,42,43,19
49,30,14,26
44,29,6,4
47,46,41,34
37,2,23,3
24,2,42,33
32,11,39,44
16,9,21,3
41,23,34,9
47,49,2,36
12,38,10,19
15,31,23,2
43,18,26,12
45,44,18,38
34,31,15,43
