9,2,18,13,5,7,26,42,44,17,15,20,49,27,3
34,42,2,41,37,21,33,5,48,1,36,47,11,8,26
1,18,37,27,14,31,36,25,11,16,43,7,4,41,46
37,34,29,19,36,20,1,4,13,24,14,21,28,26,22
12,33,10,41,5,43,42,1,35,30,4,44,29,25,16
35,12,5,3,28,16,10,7,32,44,49,21,23,6,48
34,42,20,43,29,5,10,28,44,14,8,21,11,35,40
14,24,22,16,43,45,5,46,6,4,48,26,12,1,35
7,9,4,42,40,20,2,18,47,25,26,48,6,16,33
23,17,24,25,47,42,21,26,20,9,43,2,31,33,29
5,26,25,35,2,39,1,10,12,4,16,18,9,49,43
21,37,4,34,6,15,7,40,25,49,29,13,39,43,31
4,11,15,46,1,35,7,45,18,3,32,22,5,10,16
6,16,42,4,39,24,38,26,10,28,31,48,21,9,32
39,46,45,35,33,31,38,48,13,34,9,17,37,1,40
10,45,16,9,4,6,37,32,17,48,19,14,36,11,7
15,5,43,37,29,39,30,1,35,45,42,8,22,25,11
23,29,40,38,34,22,5,26,6,24,28,18,47,16,30
8,30,42,48,12,35,5,27,33,29,18,13,10,39,47
5,24,15,44,2,26,13,30,32,34,12,8,29,47,6
42,15,34,18,7,47,20,37,36,32,21,10,46,11,45
32,26,27,46,9,13,35,2,24,21,19,42,15,34,25
46,39,3,26,22,31,1,45,44,21,15,34,25,19,49
2,41,31,18,24,45,21,39,16,46,48,13,12,23,47
29,37,15,22,36,30,39,32,47,33,27,40,4,46,20
25,46,2,21,35,15,9,44,49,47,3,29,18,11,48
13,19,32,8,47,39,17,10,36,3,31,26,2,49,29
23,5,10,47,12,29,27,28,6,7,30,21,20,13,40
44,28,11,16,32,23,13,14,33,15,39,1,21,30,19
38,26,17,47,36,37,4,23,35,21,32,6,19,15,1
42,14,12,10,20,21,48,32,49,13,6,45,7,40,16
32,21,9,17,16,4,7,5,8,35,10,39,34,43,33
16,33,23,34,5,47,24,26,9,21,14,1,30,46,4
31,12,15,32,27,14,36,41,30,11,13,44,47,25,49
39,21,24,49,1,35,40,47,16,2,27,34,3,10,19
30,37,29,31,8,4,38,9,14,25,10,32,3,41,33
26,5,42,12,35,2,17,10,43,19,49,23,16,47,22
44,40,7,13,34,41,32,24,6,47,26,42,27,31,36
46,35,45,10,21,6,2,43,34,28,25,27,1,11,4
22,29,35,17,3,41,9,19,49,24,27,14,43,15,37
26,47,25,14,8,5,23,39,30,31,22,35,12,40,1
1,25,7,46,44,30,20,12,31,38,22,43,37,2,27
25,20,34,7,33,43,44,16,23,38,9,12,24,26,42
36,23,40,48,47,39,16,2,33,30,28,25,26,32,44
37,18,40,39,46,44,28,42,10,38,4,32,6,24,9
40,32,33,37,6,5,42,41,7,27,14,44,18,26,21
41,3,36,5,15,21,14,7,6,47,43,39,20,8,13
44,7,31,42,22,8,47,11,45,38,6,1,24,37,49
39,15,5,40,46,47,18,42,25,20,26,36,22,38,17
32,16,31,22,10,39,45,11,47,1,40,28,5,27,7
1,19,26,5,8,34,33,10,15,11,41,18,36,31,46
6,4,16,43,47,12,39,40,1,22,31,23,10,19,2
33,41,22,37,11,31,17,14,23,21,26,48,3,46,43
19,13,36,24,46,44,33,32,20,30,27,2,22,11,17
44,30,29,6,43,31,5,15,39,1,22,40,11,21,25
24,6,38,28,35,21,30,5,45,31,34,47,9,1,2
38,12,5,1,2,11,40,26,21,4,22,43,24,27,48
37,31,49,10,25,12,7,33,21,19,6,35,24,20,14
45,17,12,40,14,20,38,22,24,19,33,25,26,1,44
42,40,24,3,19,47,28,30,48,41,1,14,44,18,35
45,31,5,19,18,34,15,3,23,35,32,36,38,22,46
9,35,3,48,39,21,10,44,46,7,26,24,11,18,5
23,34,21,49,13,35,31,47,14,24,20,6,27,3,42
43,11,20,16,41,28,36,37,38,1,3,7,24,14,34
24,32,39,17,37,45,31,26,11,4,30,22,6,12,34
4,22,3,43,27,12,21,31,13,32,38,40,42,5,29
3,18,43,20,21,7,34,14,17,41,27,23,32,36,12
2,26,20,34,29,12,13,30,19,41,7,37,35,49,4
27,40,24,46,30,23,25,4,38,5,3,7,2,16,33
43,42,25,2,33,24,28,35,9,20,15,11,1,41,3
3,46,10,35,49,17,33,14,30,21,40,24,28,45,36
23,22,41,18,33,9,47,36,11,40,45,26,20,8,30
15,2,27,45,13,42,49,10,43,12,47,28,18,7,33
34,25,42,5,36,49,14,46,27,41,33,35,48,19,2
41,36,15,24,27,42,39,38,28,30,44,18,48,19,12
15,30,8,22,5,9,2,46,48,49,39,28,31,43,7
34,10,49,4,6,23,2,22,1,42,46,32,9,38,3
34,38,40,24,37,43,36,10,23,5,49,2,19,26,31
45,3,23,33,14,20,2,8,1,37,15,29,18,30,49
24,9,32,20,12,48,2,36,19,11,27,3,45,22,16
41,33,44,38,24,1,46,16,30,32,15,42,19,6,28
47,36,38,11,26,48,23,43,46,12,31,18,17,40,14
45,34,32,48,3,31,28,20,27,11,33,37,18,7,10
38,10,15,17,28,39,31,36,42,1,44,5,43,13,32
27,32,3,1,36,20,16,43,21,23,41,8,29,30,26
17,39,19,9,47,12,35,45,16,11,10,14,7,5,8
