17,33
13,45
19,47
18,47
30,47
23,20
28,8
12,29
18,37
30,35
44,47
33,46
27,30
22,11
17,11
35,47
43,39
40,49
12,37
12,29
33,18
28,49
46,12
23,10
24,40
11,31
25,44
17,11
8,7
43,44
19,31
36,14
15,7
7,26
29,40
13,30
19,17
23,17
2,24
4,29
7,19
43,29
19,30
26,1
39,13
13,25
42,11
20,48
20,8
40,17
26,22
1,19
19,4
37,35
1,10
1,41
1,3
13,38
22,41
28,9
15,2
11,45
39,35
33,31
26,31
21,10
22,35
6,8
35,49
15,11
18,35
24,9
7,36
9,5
9,10
8,40
31,14
9,38
49,16
40,4
20,16
16,20
4,49
48,37
47,29
10,49
10,21
24,1
47,4
18,27
46,47
14,25
28,45
12,27
34,3
40,3
11,43
21,49
39,33
40,11
43,45
33,24
15,5
26,24
12,1
33,12
11,44
4,22
48,35
15,17
31,16
17,11
36,10
11,43
3,14
42,11
46,3
18,13
24,3
14,5
21,42
29,38
26,2
25,43
8,24
20,5
49,22
18,8
18,21
48,20
42,29
19,5
47,37
12,11
7,19
23,12
37,24
43,26
35,10
32,30
23,18
37,24
6,48
28,11
17,42
9,13
8,43
23,2
45,22
33,39
34,2
31,2
6,27
34,36
10,12
2,20
20,10
48,6
3,7
40,43
14,7
25,20
10,3
11,2
31,45
26,49
37,46
42,8
33,31
43,5
44,27
28,7
9,15
29,46
19,42
17,6
33,3
45,17
44,3
34,7
36,18
23,29
37,25
43,14
30,18
30,40
43,20
9,6
38,8
46,11
42,38
36,21
29,17
44,10
45,47
1,41
34,9
30,18
34,35
10,2
22,16
45,5
6,17
8,24
35,12
25,48
37,18
14,32
43,7
35,31
6,39
21,7
4,28
49,18
21,34
18,6
13,39
23,26
40,17
27,30
35,13
1,9
4,22
27,40
39,36
19,35
14,11
8,4
4,2
29,20
47,41
26,46
6,1
34,48
2,47
4,17
9,19
28,40
31,44
30,48
43,33
31,20
13,6
46,33
13,42
37,38
38,11
37,14
40,7
29,15
47,25
20,21
17,21
44,43
41,36
1,21
29,18
40,16
46,10
18,32
1,25
21,23
4,44
33,42
21,48
39,30
26,31
38,32
2,16
18,32
41,17
47,22
11,17
19,49
7,20
33,9
46,25
16,12
30,9
20,35
41,37
29,20
45,46
33,39
44,39
4,23
21,32
9,10
17,40
25,37
17,39
15,45
19,26
44,45
24,12
26,13
12,11
5,7
7,15
14,7
45,40
47,30
31,5
36,30
43,30
22,47
11,27
5,36
1,13
14,43
28,24
24,44
24,36
15,26
26,27
33,3
16,25
49,32
42,16
23,37
44,41
37,26
28,6
28,4
24,49
40,14
19,29
48,27
23,12
16,12
5,38
45,43
6,30
41,37
16,1
43,34
15,6
31,22
26,40
15,10
42,22
39,1
17,21
21,12
13,27
3,13
16,13
21,27
15,35
11,5
31,24
27,24
45,44
5,47
14,37
4,22
31,13
11,48
30,24
8,33
4,18
38,43
3,37
33,3
4,49
15,28
48,31
18,17
19,38
40,20
45,40
34,6
10,45
5,8
44,46
16,39
37,34
17,20
27,20
15,34
10,48
26,32
21,8
27,35
33,28
16,27
41,5
31,36
18,6
44,45
17,34
12,7
38,36
38,29
27,11
48,5
38,23
10,40
42,29
1,8
9,35
45,1
22,39
30,9
35,8
49,21
24,22
31,5
41,43
3,8
25,14
20,44
28,14
26,24
21,32
36,11
29,42
3,35
1,2
44,45
15,23
22,27
24,2
3,43
46,26
45,41
17,5
9,29
39,48
24,33
37,32
10,39
11,37
49,2
6,17
25,46
7,49
13,12
34,40
40,11
13,3
30,42
15,12
36,24
39,10
10,5
31,45
40,44
32,24
24,19
8,17
32,47
38,12
32,14
34,15
2,34
30,18
7,45
27,18
26,19
1,3
7,35
6,16
47,49
25,22
10,20
23,8
26,14
33,11
19,48
2,40
3,4
37,5
19,12
27,45
7,13
17,32
49,40
49,45
30,12
41,22
1,19
24,10
30,9
21,27
45,1
11,47
19,2
36,9
1,39
5,16
21,11
13,41
27,36
46,13
12,31
7,42
10,45
8,4
49,25
34,9
45,35
47,45
16,2
11,33
29,5
30,8
30,49
41,7
7,23
41,6
22,28
20,40
45,33
32,39
1,9
46,13
30,33
41,48
1,37
28,3
26,38
17,40
32,19
33,16
43,19
38,29
38,15
23,25
39,15
17,46
15,4
23,29
37,42
7,25
28,7
46,49
23,29
39,40
6,27
35,33
6,49
42,16
21,45
39,40
9,49
16,32
28,36
34,39
42,28
45,28
32,16
35,8
35,5
47,10
4,46
35,49
12,24
7,5
11,48
20,31
20,30
42,3
20,19
43,49
40,41
20,29
2,7
30,40
22,5
3,5
49,30
4,31
21,43
17,16
44,43
33,3
37,43
22,29
34,15
18,20
10,4
11,18
48,45
45,9
36,17
47,40
15,49
23,43
8,9
6,44
47,39
35,5
1,28
39,40
42,31
27,42
27,18
46,11
38,19
33,2
35,40
4,40
28,24
37,39
7,15
30,16
16,36
23,30
24,26
32,33
48,13
36,16
19,49
20,6
16,30
22,39
14,35
42,37
46,47
3,23
1,6
13,1
27,30
13,12
1,16
30,28
48,26
48,45
40,28
32,29
22,42
40,18
2,23
25,49
45,2
43,35
18,2
31,47
46,40
2,49
44,37
35,22
8,25
10,3
32,1
8,46
35,48
14,27
43,40
39,21
4,21
42,49
14,13
1,13
40,49
14,24
13,1
45,42
44,24
7,42
37,6
42,16
18,26
28,11
45,10
14,18
17,12
31,25
29,11
9,15
7,37
39,17
45,21
7,6
25,36
11,24
28,13
49,37
10,3
43,26
46,43
9,21
15,17
16,2
48,5
29,48
2,32
