38,10,28,12,14,17,34
27,22,32,3,24,26,34
14,32,19,26,46,6,30
36,4,29,13,37,9,34
9,37,38,42,20,49,36
45,23,47,43,9,8,5
10,15,48,45,7,8,17
12,40,28,32,36,44,35
35,6,39,12,22,8,9
22,35,45,30,26,44,1
35,5,34,32,31,12,28
15,3,6,32,20,24,14
49,4,40,27,15,35,24
40,27,31,1,48,15,29
49,48,36,27,26,9,4
4,6,18,16,3,41,34
33,11,19,47,34,20,25
14,5,36,18,35,11,24
17,30,36,31,18,10,28
10,47,43,2,23,9,6
15,31,48,40,43,41,23
36,33,44,19,5,14,21
45,46,49,28,22,30,44
40,2,34,39,24,10,13
45,30,24,43,20,26,5
27,39,2,23,24,49,1
5,31,35,43,4,21,40
21,45,40,31,47,34,15
34,4,48,32,19,28,5
45,26,31,17,25,29,14
19,4,27,9,42,7,24
8,18,49,32,4,3,33
1,44,49,4,42,12,47
4,12,7,36,39,26,46
41,43,6,27,33,46,21
49,47,39,23,45,14,10
2,6,18,24,20,29,9
14,29,23,30,34,47,12
7,31,4,42,18,20,27
4,19,20,34,41,42,28
18,43,28,30,41,5,2
37,11,6,2,21,26,34
19,22,42,6,25,34,37
27,13,28,18,4,22,40
7,26,48,28,4,12,24
23,28,20,21,43,40,29
10,30,13,31,45,2,29
21,36,30,19,3,34,6
46,18,32,37,48,5,21
43,12,37,14,9,42,20
30,33,11,42,43,3,26
42,45,16,12,23,21,32
6,39,40,25,33,44,23
47,29,30,18,12,22,4
13,24,23,40,10,46,14
16,1,46,42,12,19,31
38,17,31,10,26,23,45
45,30,15,36,39,43,2
39,38,22,25,34,30,9
7,45,16,36,39,9,17
44,5,47,34,6,12,10
29,31,45,33,12,2,42
46,23,15,4,10,31,9
35,44,29,19,26,2,28
30,16,28,8,43,13,35
14,43,40,13,10,35,25
34,28,40,25,19,10,36
2,10,21,33,39,4,42
30,40,25,34,24,37,4
12,39,17,41,21,47,42
33,36,42,26,43,17,24
45,16,14,30,40,27,34
41,46,32,7,30,10,39
1,32,33,46,6,36,41
16,45,12,13,26,10,9
25,41,38,31,44,34,22
9,39,10,6,7,14,1
26,13,30,36,15,6,1
49,46,34,38,28,14,8
41,47,24,25,22,14,48
40,26,1,29,43,23,15
36,13,23,48,7,27,10
31,11,35,23,2,12,40
14,37,5,47,43,46,44
37,15,7,23,4,25,39
30,28,2,39,49,35,47
46,44,12,5,6,22,35
24,6,4,19,40,30,32
36,44,40,13,2,31,33
42,35,40,45,3,43,46
17,43,16,48,6,32,13
29,14,20,37,49,45,46
17,9,32,42,3,29,37
2,20,9,15,40,23,37
46,11,47,27,28,33,39
13,26,21,44,14,6,33
5,42,31,49,14,45,22
46,35,15,37,34,20,14
38,6,40,13,20,7,33
18,33,2,38,5,43,3
23,10,29,28,25,13,2
17,12,2,22,23,9,42
14,1,33,31,34,39,36
44,19,18,9,5,31,16
22,4,43,26,12,48,5
34,2,13,32,38,39,4
36,11,35,8,28,13,27
46,49,19,6,2,21,29
3,34,31,49,5,43,13
15,38,43,11,14,25,35
14,46,6,12,43,19,30
46,1,18,30,27,47,11
11,10,36,35,9,44,32
46,30,3,37,47,29,5
28,40,49,10,43,21,39
1,42,11,30,39,10,38
36,5,33,41,1,3,46
23,21,26,7,2,40,16
3,45,10,14,27,21,25
20,1,16,38,14,28,27
4,46,18,16,25,21,28
39,25,7,35,3,43,18
25,40,35,29,49,22,14
24,25,12,40,20,22,15
21,23,8,13,32,30,49
48,43,40,39,1,32,4
49,29,31,48,37,46,11
12,21,17,9,36,27,48
1,7,26,9,37,4,24
4,23,33,28,34,7,37
48,17,42,26,9,35,8
10,47,39,11,21,38,43
5,8,6,37,7,32,27
24,20,10,41,2,38,19
8,45,44,47,37,27,6
39,49,3,13,45,9,32
33,21,17,2,32,26,14
32,1,37,43,35,25,8
10,30,23,26,40,49,5
1,49,48,4,27,42,24
