45,23,43,13
21,9,48,30
24,26,18,29
19,39,31,37
39,14,13,42
1,10,48,41
49,35,25,4
47,14,39,37
11,4,16,1
16,22,23,44
38,19,22,5
9,5,4,22
14,1,28,31
6,24,47,13
5,6,47,45
1,6,31,49
43,34,44,17
48,37,3,44
9,2,6,48
24,36,10,19
46,30,39,15
35,45,40,32
6,17,15,3
33,24,15,16
31,5,46,29
17,6,47,49
42,43,17,5
12,37,46,10
8,16,18,33
2,12,5,15
16,7,32,18
23,45,5,28
28,3,22,14
14,41,18,15
38,41,28,14
12,33,24,36
27,28,49,43
42,9,8,38
49,32,1,46
19,16,40,47
1,24,43,47
9,47,16,30
6,10,1,16
44,37,18,13
41,37,3,26
38,29,18,48
36,13,38,7
40,7,2,31
5,18,46,30
40,12,18,5
7,29,32,46
31,40,38,11
22,32,48,38
12,3,43,10
1,31,9,32
48,8,5,37
16,4,25,42
49,38,24,48
30,29,11,14
1,35,5,36
22,13,43,1
36,8,29,34
36,44,29,2
34,49,35,11
8,5,35,22
37,46,8,30
13,24,42,26
10,24,40,3
26,32,5,21
31,27,42,43
33,13,19,9
33,37,24,47
29,45,43,20
40,36,10,44
43,28,24,42
17,31,14,1
36,9,27,40
35,4,32,48
14,10,3,47
38,4,5,33
42,49,8,36
15,33,10,38
35,17,33,32
30,8,23,33
30,8,7,44
27,41,26,7
23,16,17,9
24,31,36,8
33,45,8,2
37,26,13,2
18,21,6,29
8,44,10,15
1,37,49,36
42,43,30,20
23,33,17,14
40,25,5,23
46,13,28,30
19,45,10,27
12,16,44,31
31,27,45,6
48,24,30,19
2,37,33,9
28,21,9,47
4,16,47,1
3,19,38,20
28,10,33,9
5,36,13,29
1,19,46,45
13,36,32,31
23,42,49,13
17,11,4,36
37,45,38,3
36,1,15,25
19,42,15,32
11,20,17,45
22,31,28,12
39,20,19,26
11,22,17,33
6,45,28,7
6,4,11,49
12,48,7,19
49,39,13,29
14,4,22,47
24,14,26,4
26,45,3,41
27,14,34,13
31,22,29,40
18,45,47,11
11,31,15,49
46,8,39,24
9,45,3,2
17,48,31,8
42,3,37,39
38,47,13,45
16,30,43,9
26,21,25,43
22,3,34,32
48,6,11,41
13,9,35,5
49,11,26,36
26,22,18,16
4,9,11,42
24,2,14,20
13,20,44,47
43,20,41,13
21,49,30,42
7,32,27,16
27,23,30,42
40,43,41,19
39,17,23,8
27,49,10,6
45,23,37,15
48,19,29,46
19,24,41,21
27,39,12,41
31,44,22,37
36,35,7,3
15,14,49,36
42,5,6,13
5,35,18,42
20,21,42,35
38,32,21,17
47,30,19,9
6,33,2,31
33,47,12,5
7,31,36,27
2,27,33,46
24,8,41,49
6,48,17,28
15,22,49,23
24,31,48,29
12,2,30,46
29,6,31,36
3,1,15,34
3,10,31,26
13,19,25,2
18,33,32,40
24,28,39,18
40,21,41,23
45,42,40,15
22,30,45,8
20,35,38,4
48,38,10,40
23,6,30,34
21,39,49,33
3,43,10,2
12,32,36,19
17,28,11,25
