12,20,8,24,40,7,41,35
45,7,20,31,1,12,43,8
45,37,8,28,1,14,24,26
28,13,3,49,5,12,43,23
27,16,30,32,3,42,5,4
19,9,14,20,25,1,16,8
12,27,49,26,32,8,43,11
14,46,17,9,45,18,44,30
43,48,27,29,3,46,22,44
8,31,41,49,25,24,2,10
37,22,12,44,20,2,38,5
31,27,3,25,30,21,16,43
28,33,45,16,31,4,44,47
39,18,10,35,33,30,28,22
24,36,47,14,17,19,25,40
40,10,29,1,31,23,21,30
17,13,12,22,2,25,7,21
20,23,9,10,27,5,44,39
21,17,13,46,28,5,41,1
31,8,6,34,28,10,37,39
36,28,20,16,12,1,49,14
39,32,17,22,40,18,34,36
20,19,27,35,38,22,2,17
42,20,6,23,24,43,40,19
45,19,1,33,27,32,24,47
46,48,12,33,28,2,23,3
40,12,35,28,10,39,4,20
23,4,15,13,20,38,26,44
37,26,47,28,21,43,17,44
19,37,17,13,3,48,31,23
17,26,10,15,35,40,2,30
26,45,31,14,43,2,32,15
18,22,25,33,38,15,3,48
21,45,19,7,38,47,46,10
2,41,19,47,23,3,29,27
18,39,7,27,31,13,23,30
8,1,6,12,4,36,2,27
42,10,23,4,32,37,27,13
19,20,47,43,2,28,38,17
2,18,3,48,42,13,36,7
6,45,5,3,1,46,16,37
34,28,5,43,4,14,26,44
22,4,44,47,35,39,41,34
43,42,15,13,33,2,6,32
13,2,49,24,20,33,4,48
43,36,22,16,32,14,1,17
12,20,7,23,10,40,44,3
38,45,44,49,37,27,28,13
44,30,14,19,20,47,2,43
39,46,48,30,9,19,24,22
30,9,41,44,8,28,31,14
1,43,29,33,5,16,4,34
16,49,9,42,30,38,46,35
24,36,32,22,45,27,34,33
35,7,32,28,1,39,47,23
9,42,11,24,12,20,34,37
42,17,24,35,6,16,9,14
7,14,33,45,25,13,43,21
25,42,3,44,21,2,4,36
19,28,21,42,27,4,18,13
26,15,28,1,13,22,25,11
14,31,40,35,13,37,8,33
48,35,49,3,46,9,34,14
47,26,24,32,28,14,42,27
37,32,38,46,28,31,22,48
22,43,47,7,20,40,32,8
32,19,30,5,23,47,10,31
9,5,22,33,31,40,41,29
4,38,28,3,25,43,30,11
22,32,18,35,5,36,46,9
7,47,42,8,11,12,48,5
29,38,8,32,18,48,4,22
22,38,32,34,12,17,6,15
15,17,30,29,47,23,45,35
26,14,39,35,23,48,2,40
31,26,44,11,35,7,1,22
48,2,49,43,1,36,32,12
33,15,10,18,14,44,21,35
19,14,13,26,5,40,41,16
49,18,15,47,13,42,39,25
9,33,12,34,23,4,16,41
26,43,35,41,1,21,44,42
11,12,17,29,15,4,30,9
4,6,21,33,15,38,3,29
9,16,1,34,4,5,41,6
24,15,2,43,34,46,4,20
2,16,49,40,28,26,31,6
1,42,11,47,39,49,31,16
23,34,16,25,18,1,27,30
26,49,46,41,2,7,31,36
46,41,16,22,48,5,9,34
8,24,46,13,1,49,31,26
32,35,6,38,39,34,27,15
20,30,1,12,48,11,3,49
48,2,46,49,42,5,10,37
23,1,7,13,15,27,14,40
39,41,3,13,23,26,46,40
21,27,32,3,9,28,16,33
20,40,31,16,45,11,25,2
21,2,8,19,12,1,39,22
25,22,38,4,32,13,29,33
49,11,6,27,14,25,38,47
33,38,4,7,44,32,46,36
10,33,17,20,15,24,3,2
39,15,1,25,6,26,20,13
31,8,25,48,37,9,10,40
