14,38,25
33,47,48
7,35,45
12,8,39
3,34,44
8,2,23
16,33,38
20,24,48
15,37,23
6,36,49
18,32,26
15,40,35
10,47,30
1,15,22
31,2,49
48,1,25
45,12,1
5,42,41
41,10,49
8,44,31
35,1,15
3,28,34
23,42,1
31,43,36
36,2,16
26,46,34
11,2,23
5,7,34
31,16,13
17,5,13
5,36,19
30,27,31
10,3,14
42,39,16
31,16,30
32,18,35
38,49,11
30,42,46
10,16,34
49,24,17
35,17,8
13,16,6
49,10,44
39,29,33
13,3,7
37,32,7
19,25,9
44,3,7
9,44,13
3,23,5
6,17,46
36,38,19
7,34,14
32,6,39
4,18,9
5,21,35
26,40,38
20,15,18
2,22,17
40,11,36
33,36,16
21,24,15
20,49,48
6,29,46
5,2,37
28,4,10
25,3,11
24,29,11
5,8,9
42,10,24
38,3,29
18,28,27
29,47,15
46,17,8
38,47,31
38,47,26
33,48,44
40,32,5
30,15,22
48,35,24
3,23,47
44,34,24
27,46,25
8,2,3
30,44,33
32,17,8
46,41,26
30,20,37
20,35,36
18,4,33
23,14,29
38,4,24
41,3,2
35,10,49
35,45,46
32,41,9
20,44,26
29,40,31
8,33,30
8,46,44
42,1,14
33,35,32
22,42,44
47,20,10
29,35,18
10,29,35
40,48,21
25,45,43
31,4,7
44,24,3
46,5,38
49,39,17
8,45,12
40,30,24
45,48,33
19,29,15
40,48,23
35,11,48
20,30,49
47,16,44
18,23,35
9,22,32
3,38,45
22,13,36
16,28,40
18,28,7
48,5,33
26,41,14
26,49,20
40,33,35
33,23,19
41,12,1
48,45,38
22,25,23
27,46,44
49,32,2
6,20,2
2,33,39
14,4,47
19,28,42
3,32,26
13,2,26
23,34,35
27,2,8
38,24,21
20,28,17
11,15,12
4,7,29
21,5,8
30,10,46
34,2,27
10,49,16
32,16,24
1,13,43
29,8,6
47,37,2
22,23,5
41,32,44
29,45,47
26,32,11
12,45,49
49,18,3
5,45,40
22,10,1
46,31,29
19,1,39
44,35,46
15,14,25
47,16,3
5,46,13
1,29,8
13,39,38
5,43,4
14,33,21
38,42,8
37,7,48
34,10,38
49,48,31
8,14,2
22,20,36
5,36,35
35,10,3
20,11,4
19,48,44
37,16,13
28,30,15
30,34,6
20,13,14
46,23,8
29,25,47
41,25,29
11,37,21
17,18,15
26,46,40
15,34,24
28,44,27
49,43,28
48,15,6
37,43,12
1,30,19
22,33,20
2,29,13
3,20,32
14,34,12
5,40,21
12,1,43
36,17,30
49,32,35
14,33,11
35,42,10
19,17,30
1,27,30
25,2,45
