42,2,33,43,21
41,21,48,35,40
45,18,42,5,47
31,39,29,16,21
20,41,18,29,38
4,21,47,12,11
46,7,1,30,20
11,35,1,7,43
30,20,43,9,22
14,41,47,6,38
48,20,19,45,43
6,13,8,16,1
17,11,32,41,4
15,49,26,38,25
29,8,9,11,14
5,41,26,19,2
28,32,2,8,17
10,25,16,4,47
27,40,13,35,37
26,13,34,40,49
3,38,4,35,8
10,1,17,25,20
6,33,48,30,11
19,11,35,48,4
6,49,41,29,27
28,1,37,25,32
12,23,44,29,21
23,40,26,1,33
30,20,7,29,45
10,47,21,26,41
18,48,4,20,36
48,29,33,31,24
48,35,3,26,47
6,14,18,10,3
26,44,16,36,32
24,42,2,7,28
41,4,28,33,18
30,7,39,20,41
42,39,17,32,30
33,22,32,36,48
12,49,39,9,26
5,40,1,31,19
14,20,11,2,30
32,49,47,36,14
15,19,48,38,47
45,47,8,37,27
7,21,8,13,12
42,36,4,9,1
6,5,25,47,12
38,32,44,10,4
3,29,46,8,48
25,23,35,2,8
20,12,39,47,1
29,2,18,48,40
38,37,4,31,49
3,49,48,8,37
39,16,8,46,28
41,38,46,17,1
18,24,43,11,21
14,9,49,48,47
36,11,31,26,8
1,28,35,15,22
37,16,19,41,33
15,18,10,7,47
15,12,23,13,38
1,7,28,21,18
1,24,3,7,29
35,9,22,41,29
22,25,38,45,13
14,21,6,28,24
39,23,21,31,28
10,1,37,14,26
8,14,19,21,23
18,11,25,23,28
35,8,30,17,3
28,33,47,45,37
26,49,21,33,30
45,20,42,37,6
36,47,40,48,15
8,14,4,3,26
26,38,2,22,33
41,26,22,2,28
37,31,41,26,8
6,2,41,40,29
28,35,9,23,17
26,9,6,14,8
27,2,21,18,17
43,26,42,14,23
10,46,13,16,29
41,40,28,12,6
42,19,15,20,11
39,25,20,17,46
11,16,10,13,8
33,23,11,31,25
9,33,5,19,4
26,37,31,45,49
43,35,3,44,21
1,10,34,29,15
38,36,1,15,46
22,15,12,39,33
40,17,2,7,11
23,11,8,38,35
29,36,9,41,15
42,30,34,33,16
19,16,12,21,47
46,6,21,29,17
8,47,23,43,22
5,10,41,4,38
15,38,3,26,17
10,30,34,3,23
19,17,4,29,31
8,21,10,32,27
2,32,36,23,49
30,40,29,6,37
44,34,27,30,37
20,12,30,29,10
34,47,13,9,38
40,28,17,30,36
8,34,1,46,35
7,1,21,11,3
19,42,35,25,4
34,45,19,22,48
35,15,28,7,21
14,6,22,13,42
43,16,6,45,3
17,8,49,10,41
39,6,22,15,24
34,45,6,17,42
2,30,34,11,44
14,48,9,13,38
31,21,40,3,39
35,21,38,22,47
18,42,24,38,19
27,34,3,19,24
14,35,42,45,10
27,38,15,24,49
33,25,8,35,11
1,26,23,9,6
25,27,26,29,22
36,29,31,24,49
12,8,29,17,37
1,38,43,47,15
23,20,34,11,15
13,19,11,16,22
17,33,29,30,48
30,5,27,48,9
43,29,17,5,14
46,12,17,7,29
42,25,39,17,7
30,32,24,41,45
15,23,5,31,38
33,21,48,16,4
9,20,13,32,42
45,12,42,7,30
15,42,25,24,35
16,21,29,12,49
6,21,19,9,20
11,35,42,39,9
27,35,5,12,42
4,32,45,36,33
46,10,9,18,28
4,11,41,46,38
22,30,6,29,33
16,13,48,43,27
49,12,38,22,7
48,15,27,3,38
28,5,29,22,25
24,41,33,25,46
9,44,49,4,19
17,49,33,26,27
10,4,41,12,2
48,10,24,35,9
22,48,41,19,46
28,39,13,42,2
28,6,31,41,19
22,26,19,41,1
42,43,29,41,47
48,12,44,18,25
33,31,23,3,19
40,47,19,37,7
37,28,19,42,38
17,6,41,49,47
25,38,3,34,36
10,5,27,36,23
11,19,22,2,41
36,34,43,19,38
49,9,17,31,14
44,12,42,21,29
20,3,18,32,1
38,17,10,20,31
30,18,26,47,35
31,13,30,4,1
28,8,41,3,10
21,13,31,37,7
46,30,3,34,21
41,42,37,6,31
49,45,8,40,32
21,38,7,6,39
2,22,32,47,33
24,46,8,19,39
36,45,15,44,25
13,18,11,33,16
23,6,33,29,8
31,39,40,48,29
36,7,42,29,9
16,45,40,21,22
24,13,5,36,2
16,32,3,40,33
19,6,18,16,23
5,42,45,26,29
7,32,3,42,20
27,8,40,46,5
47,9,44,38,43
43,47,2,9,28
10,7,39,12,31
2,3,18,48,40
16,39,1,9,46
24,3,47,15,13
24,27,23,31,46
3,28,19,47,5
28,20,7,40,17
41,23,48,43,12
38,14,11,36,12
44,12,1,26,18
22,4,16,47,15
8,38,25,28,3
40,26,2,39,15
7,24,18,23,30
25,2,21,16,23
5,7,44,26,11
16,34,21,29,25
24,9,14,33,40
35,10,7,45,13
39,28,35,19,22
25,14,33,41,45
42,22,48,30,34
37,35,14,29,46
2,1,12,9,5
16,46,7,17,35
43,13,24,15,41
49,43,2,19,38
45,17,38,36,43
22,29,32,40,38
25,31,19,14,2
17,3,24,35,26
32,44,29,30,16
10,30,47,14,5
25,27,30,20,49
25,41,23,27,26
22,14,19,46,21
47,46,17,32,24
24,17,6,27,13
38,34,13,27,32
32,31,47,40,8
19,15,35,48,38
28,20,26,30,13
48,1,40,2,35
4,9,11,36,2
1,47,30,18,41
30,25,22,14,41
31,36,19,24,14
13,5,38,15,12
40,13,23,41,37
9,5,25,10,30
17,36,23,44,47
15,17,2,28,16
27,47,2,28,18
45,35,32,46,48
22,49,17,23,45
5,49,1,8,11
30,22,33,47,36
8,16,11,49,27
2,4,42,14,23
34,8,9,46,3
38,25,28,31,48
23,16,40,28,36
15,22,10,1,6
32,26,1,16,42
49,40,16,37,7
48,13,27,21,1
31,2,39,24,5
43,38,1,17,33
39,28,7,48,19
39,34,22,33,23
8,24,47,37,2
37,14,29,11,22
3,35,29,18,48
5,14,44,34,46
17,22,29,16,8
41,45,4,36,6
38,18,4,42,48
27,5,6,40,29
4,44,13,29,24
14,34,23,13,26
13,28,25,20,33
3,20,32,34,22
10,9,2,47,33
31,16,41,2,49
24,36,46,47,7
41,2,7,14,19
13,38,17,4,39
33,37,43,19,44
2,40,30,37,39
20,23,41,5,24
20,37,49,8,46
16,41,19,30,5
32,9,29,21,33
43,44,48,26,4
8,4,41,1,33
2,37,44,48,32
30,28,3,45,33
4,37,49,15,47
12,3,8,7,44
43,22,48,11,42
17,39,30,45,9
22,21,28,39,10
8,41,13,37,39
9,24,18,45,32
38,14,41,48,43
8,17,42,4,19
7,18,43,21,31
14,28,11,38,2
40,32,36,41,39
35,4,32,39,23
2,25,23,33,5
28,18,12,5,24
31,6,8,21,22
18,11,48,12,19
44,41,32,24,36
49,3,47,17,30
5,38,27,32,46
12,7,42,24,45
49,31,15,23,1
34,49,6,37,40
32,8,4,2,22
35,16,26,37,22
48,5,17,1,9
35,45,2,31,41
7,3,20,24,10
46,5,19,24,35
14,28,4,47,40
9,32,17,1,31
30,6,39,18,1
45,12,34,22,14
37,12,35,9,33
20,35,22,42,31
17,16,23,18,36
18,38,15,5,7
10,49,24,20,4
3,38,16,13,18
12,37,5,7,10
29,31,21,40,26
46,36,23,35,3
40,29,17,32,24
15,1,21,45,17
10,46,32,27,5
14,26,39,15,27
36,32,25,33,39
48,15,5,8,45
34,10,18,9,28
18,7,9,35,16
6,46,44,23,19
5,46,20,16,25
25,34,41,44,2
21,45,19,6,36
17,21,26,42,27
39,32,18,33,21
25,5,13,26,10
42,36,35,17,30
21,16,28,8,30
23,1,15,46,34
23,48,41,40,44
31,15,38,3,48
13,17,33,41,35
28,39,19,11,34
46,34,7,32,14
3,36,9,49,10
15,9,27,19,11
17,3,35,23,11
42,17,38,34,5
6,45,47,48,26
35,34,11,27,7
21,48,34,44,9
41,4,17,28,27
48,35,25,19,3
34,39,32,11,5
20,6,46,45,8
39,6,12,1,48
13,30,43,29,19
37,13,31,9,11
47,14,44,29,13
28,8,32,25,7
48,32,45,28,18
33,27,36,39,47
24,2,30,13,35
3,46,12,6,48
44,8,24,37,40
21,18,20,3,44
40,5,33,7,44
42,47,23,30,14
8,14,29,31,26
5,35,31,39,9
23,5,11,6,15
30,6,14,25,17
6,25,23,24,32
10,25,12,1,30
28,25,23,30,31
9,12,22,1,28
31,15,33,38,26
48,47,5,32,7
47,40,2,8,10
7,49,44,13,39
35,10,20,3,30
30,15,16,26,9
18,36,10,41,19
3,10,33,23,43
34,8,12,46,39
41,28,39,17,42
14,48,25,5,19
41,17,15,29,3
24,11,14,4,16
49,8,16,35,4
4,20,23,9,40
41,1,47,27,19
25,30,45,15,1
38,15,47,14,5
8,34,40,32,37
4,38,22,13,7
14,32,16,11,42
33,14,23,25,24
13,10,3,11,22
17,18,1,44,2
11,6,30,9,18
12,44,36,7,26
5,35,1,25,46
6,3,1,47,42
19,29,13,18,24
5,18,35,3,22
15,23,14,7,42
33,21,15,8,24
7,11,13,29,34
30,39,28,9,13
3,23,46,1,21
18,25,46,29,43
12,43,49,22,30
41,46,43,38,21
48,27,16,8,42
37,27,33,36,29
25,16,41,19,48
45,39,8,13,26
40,25,42,22,27
11,32,25,49,4
38,5,24,16,48
2,44,45,15,20
7,47,49,41,31
45,33,24,3,7
23,11,24,44,1
12,26,6,29,34
46,28,17,2,5
37,40,1,35,18
30,31,8,20,40
21,10,37,7,26
30,48,38,31,23
33,36,11,43,34
7,49,4,28,17
