39,5,41,37,24,11,36
19,4,6,17,42,35,44
47,1,28,3,8,45,7
21,10,17,35,36,27,22
21,4,29,17,23,1,46
25,45,19,4,41,38,47
33,2,16,29,28,40,49
26,41,2,33,42,45,46
34,41,14,46,49,13,18
45,22,3,37,13,25,15
44,18,43,5,49,36,29
24,14,1,9,21,18,19
30,22,12,27,17,21,47
32,45,29,44,7,49,17
38,17,44,4,24,35,40
4,40,44,32,27,35,33
16,9,11,37,25,36,27
30,34,36,42,7,18,2
48,19,21,16,11,23,15
24,15,19,21,14,18,45
2,43,49,26,35,4,47
42,22,11,46,32,23,40
17,32,43,39,23,30,20
46,1,13,26,38,28,20
30,10,4,40,39,46,35
9,27,42,46,6,15,36
5,25,24,42,13,34,3
39,49,15,14,31,30,6
25,2,29,13,8,35,7
47,17,1,9,33,4,10
8,44,18,9,30,43,27
35,44,49,32,24,16,28
28,37,40,21,49,9,22
29,10,36,21,44,1,9
10,25,28,37,40,21,12
19,16,31,18,7,45,35
42,9,1,36,19,3,44
8,5,1,45,37,39,26
38,15,12,30,36,1,31
5,8,16,3,9,19,48
31,35,49,20,41,28,32
34,38,49,8,16,4,26
21,12,20,27,29,46,36
20,39,12,30,42,19,38
3,46,29,41,26,32,30
42,23,18,45,13,1,2
42,43,5,30,22,27,37
9,37,3,33,17,38,34
20,34,44,21,41,9,18
38,9,15,30,6,16,7
43,14,9,29,22,40,34
31,33,24,17,5,14,19
19,23,49,38,45,27,31
29,20,21,36,24,48,26
36,21,9,10,40,17,4
26,36,35,40,9,46,30
28,23,38,47,29,31,18
42,39,16,18,28,24,2
28,37,12,30,17,41,3
13,39,26,35,16,27,43
37,30,43,25,2,39,35
19,31,40,38,20,35,18
27,44,45,9,48,1,3
29,36,30,25,8,14,46
49,24,12,28,47,37,8
22,37,40,39,41,9,26
32,33,40,7,30,37,42
25,7,1,23,9,17,43
27,49,18,46,35,41,45
40,45,19,46,4,35,25
36,23,43,42,10,30,39
19,43,47,39,49,45,40
41,7,12,16,33,13,20
6,13,15,17,10,2,1
20,34,35,40,26,41,23
34,44,4,31,10,43,15
36,7,9,38,47,8,45
4,9,45,8,1,38,40
10,1,49,31,7,8,40
11,12,20,47,36,24,33
