30,27,36,11,26,6,31,46,38
46,47,6,49,2,38,45,16,18
33,42,47,7,41,28,22,27,30
49,11,47,41,5,36,34,24,31
14,1,28,7,17,29,21,40,8
12,5,19,15,39,36,22,28,37
18,24,31,26,42,32,12,46,19
11,41,1,3,21,28,32,45,16
42,28,35,16,4,3,27,26,21
20,34,31,39,23,35,9,4,40
48,18,34,9,17,36,6,19,23
2,42,37,29,10,31,5,20,15
11,29,28,4,18,22,48,12,34
43,26,2,24,33,41,38,10,36
34,11,4,23,38,1,2,10,21
32,42,12,35,10,40,6,43,31
21,46,11,6,44,41,2,35,40
46,38,3,10,16,6,47,17,2
19,47,9,22,34,46,37,32,43
19,26,33,17,5,7,22,32,31
28,23,35,21,4,7,42,19,14
28,5,1,3,34,37,49,2,43
35,25,7,10,17,15,11,37,4
38,44,37,13,16,46,17,34,39
8,15,31,32,21,5,36,11,45
7,42,4,14,27,38,23,49,3
31,7,32,41,48,40,19,47,49
21,12,9,32,3,43,26,31,20
20,47,3,38,36,7,29,14,21
15,30,6,31,5,40,44,12,4
10,1,13,39,38,41,34,14,7
12,6,27,37,3,34,43,21,13
5,40,2,35,42,30,41,19,36
38,29,30,10,26,23,44,43,35
4,49,31,11,2,40,5,9,35
43,28,1,14,10,49,23,30,4
7,10,3,39,48,25,33,46,8
45,41,23,48,4,35,30,3,2
36,29,24,2,12,14,4,11,7
12,47,3,20,37,9,4,35,48
13,34,42,48,18,33,21,11,7
38,47,5,9,11,3,1,36,15
41,29,24,36,38,35,22,47,11
24,36,49,47,43,17,29,23,1
11,28,35,8,49,15,30,14,17
39,21,34,3,10,42,8,17,37
9,21,25,15,39,22,2,36,30
39,46,41,31,33,40,25,47,42
18,6,41,32,9,12,1,21,11
9,47,31,37,43,3,41,36,32
17,34,1,22,47,26,24,8,39
18,12,29,42,44,4,39,47,6
21,2,49,16,22,46,18,38,10
4,8,16,11,5,20,7,43,45
1,32,35,15,12,25,8,36,16
41,37,21,29,1,24,27,3,14
19,7,28,39,49,20,24,40,17
38,9,29,20,4,33,39,35,27
9,27,38,33,14,13,34,47,15
17,19,4,20,47,13,27,34,21
48,49,3,41,42,8,25,27,21
14,46,2,7,13,34,49,39,11
29,35,13,19,7,41,20,16,45
4,40,22,18,2,46,35,12,33
42,19,29,11,7,22,24,16,17
1,14,23,37,41,47,26,33,18
42,38,10,28,37,13,34,40,21
27,1,34,20,36,29,33,2,48
11,26,37,33,44,5,7,30,36
42,45,29,19,32,28,24,27,34
48,1,12,36,18,7,35,20,42
22,15,23,29,21,49,27,9,43
14,25,7,15,11,20,46,43,29
13,35,14,26,9,31,25,46,45
7,9,23,34,2,38,35,22,36
49,1,46,18,33,21,47,5,20
32,10,28,27,46,6,34,22,41
36,25,41,17,22,7,32,27,14
49,29,47,33,20,38,25,41,3
1,47,29,46,30,33,36,20,37
9,18,35,23,28,25,1,3,11
35,24,9,1,44,41,49,16,11
48,17,39,45,32,47,2,42,23
47,10,3,6,16,41,38,35,39
34,15,14,39,48,2,43,36,24
20,27,17,26,48,31,40,44,12
47,33,48,30,46,10,49,27,2
40,43,34,8,36,46,13,15,45
20,17,4,15,7,37,10,47,30
29,18,40,45,12,13,1,8,3
26,41,48,29,33,38,30,5,35
16,28,32,45,34,43,3,1,36
27,22,16,35,1,5,46,7,18
35,34,23,46,33,11,42,14,32
45,48,8,5,4,25,39,42,11
43,24,17,7,27,38,1,10,9
15,21,41,26,1,2,25,7,9
28,46,11,39,23,12,1,47,41
44,5,21,12,45,37,7,43,19
4,20,44,36,38,2,35,8,1
48,27,43,11,19,4,17,33,44
31,7,37,28,17,15,47,23,45
16,46,25,27,10,3,29,26,41
32,5,49,3,26,39,20,35,17
37,25,11,14,7,27,33,2,39
5,36,31,18,46,1,3,15,39
4,22,39,48,31,17,12,6,19
8,33,34,12,44,29,43,16,19
28,21,37,49,47,31,29,24,14
11,10,32,40,45,4,31,29,8
41,46,1,36,18,33,35,22,44
15,24,43,5,49,36,28,45,14
21,15,18,30,7,17,44,43,38
21,32,26,16,47,15,30,24,34
20,17,40,38,34,25,35,37,16
35,48,37,32,44,1,10,20,14
23,15,47,8,49,28,3,48,10
27,44,48,28,35,33,16,20,39
2,34,6,19,44,7,30,47,22
1,49,31,15,48,39,6,41,33
17,46,22,4,3,37,9,38,35
33,20,47,11,48,8,6,12,1
28,27,47,18,32,44,11,49,35
48,7,5,23,22,45,31,40,18
13,48,27,45,28,15,41,1,30
1,26,32,45,47,16,21,43,33
30,14,46,5,15,1,26,21,13
11,28,38,2,36,5,37,29,44
10,1,29,12,39,49,26,41,11
33,32,13,22,47,23,7,2,29
22,49,3,4,45,12,21,25,44
4,23,10,25,7,35,5,13,33
41,39,19,15,11,48,6,37,27
